"","nameList","rating"
"2409","Fernando Gonzalez",3.471
"1877","Mauricio Hadad",3.47
"2693","Edgardo Massa",3.47
"2854","Dudi Sela",3.468
"1565","Diego Nargiso",3.468
"1836","Andrei Medvedev",3.468
"3105","Ricardas Berankis",3.467
"2740","Simone Vagnozzi",3.466
"3063","Illya Marchenko",3.466
"3469","Mikael Ymer",3.465
"2682","Nicolas Almagro",3.46
"521","Alexander Volkov",3.459
"3502","Yannick Hanfmann",3.459
"1606","Goran Ivanisevic",3.457
"3321","Andrej Martin",3.456
"2484","Olivier Rochus",3.453
"3043","Bruno Rodriguez",3.452
"2281","Quino Munoz",3.451
"3462","Denis Shapovalov",3.451
"3255","Bassam Beidas",3.45
"3014","Massimo Dellacqua",3.449
"3541","Mackenzie Mcdonald",3.448
"450","Sandy Mayer",3.448
"3483","Ilya Ivashka",3.447
"2301","Guillermo Canas",3.447
"2988","Juan Manuel Elizondo",3.445
"1834","Frederic Fontang",3.445
"3355","Tim Puetz",3.445
"2516","Mario Ancic",3.444
"3204","Mathieu Rodrigues",3.444
"3036","Joao Sousa",3.444
"3493","Hubert Hurkacz",3.443
"2984","Alun Jones",3.443
"3392","Gianni Mina",3.442
"3243","Kenny De Schepper",3.441
"2992","Pedro Sousa",3.441
"2217","Antony Dupuis",3.441
"2795","Malek Jaziri",3.44
"2242","Daniele Balducci",3.438
"1945","Jordi Burillo",3.438
"3411","Andrea Arnaboldi",3.437
"3547","Felix Auger Aliassime",3.436
"3443","Quentin Halys",3.436
"3504","Stefano Napolitano",3.435
"3447","Bjorn Fratangelo",3.434
"2407","Eduardo Nicolas",3.433
"2722","Michal Mertinak",3.433
"76","Harald Elschenbroich",3.433
"1478","Javier Frana",3.432
"2867","Rui Machado",3.431
"2611","Victor Hanescu",3.43
"1813","Cedric Pioline",3.429
"3391","Gerald Melzer",3.429
"1725","Michael Stich",3.428
"3445","Noah Rubin",3.427
"3593","Pedja Krstin",3.426
"3448","Jozef Kovalik",3.425
"3408","Matteo Donati",3.425
"634","Ryan Moore2",3.425
"2166","Nicolas Kiefer",3.424
"3500","Gianluigi Quinzi",3.421
"3344","Renzo Olivo",3.421
"2138","Felix Mantilla",3.419
"1856","Daniel Nestor",3.416
"2873","Ryan Sweeting",3.415
"892","Ivan Lendl",3.414
"3513","Tennys Sandgren",3.413
"1612","Gustavo Giussani",3.412
"1401","Claudio Pistolesi",3.411
"3013","Eduardo Schwank",3.41
"1707","Karsten Braasch",3.409
"2895","Fabio Fognini",3.409
"2773","Yuri Schukin",3.409
"3550","Bernabe Zapata Miralles",3.409
"3114","Radu Albot",3.409
"2583","Jimmy Wang",3.408
"2700","Philipp Kohlschreiber",3.408
"2359","Taylor Dent",3.404
"3376","Andrey Rublev",3.403
"1981","Wayne Black",3.403
"3352","Jason Kubler",3.402
"2886","Jeremy Chardy",3.402
"2574","Lukasz Kubot",3.402
"3516","Yannick Maden",3.401
"2504","Dimitri Mazur",3.4
"940","Damir Keretic",3.4
"3024","Mikhail Kukushkin",3.398
"3138","Franco Skugor",3.395
"2797","Gyorgy Balazs",3.394
"475","Tony Richey",3.393
"3287","Martin Alund",3.393
"2745","Andreas Seppi",3.393
"1746","Fabrice Santoro",3.392
"2331","Marat Safin",3.392
"2925","Robin Haase",3.391
"2147","Hyung Taik Lee",3.391
"2418","Edwin Kempes",3.391
"2297","David Caballero",3.39
"3399","Zhizhen Zhang",3.39
"3340","Thanasi Kokkinakis",3.39
"2973","Pablo Andujar",3.386
"2403","Juan Carlos Ferrero",3.385
"2098","Sjeng Schalken",3.385
"1649","Doug Flach",3.383
"1197","Bruce Derlin",3.381
"3174","Yong Kyu Lim",3.381
"2430","James Blake",3.381
"566","Jose Higueras",3.38
"1666","Jared Palmer",3.38
"2431","Tommy Robredo",3.379
"2479","Andy Roddick",3.378
"3110","Henri Laaksonen",3.377
"3090","Guillaume Rufin",3.375
"1485","Ulf Stenlund",3.375
"2252","Oscar Bustos",3.373
"489","Corrado Barazzutti",3.373
"2907","Tobias Clemens",3.371
"2446","Ivan Beros",3.369
"2362","Daniele Bracciali",3.369
"3268","Roberto Quiroz",3.368
"62","Arthur Ashe",3.368
"1167","Michael Mortensen",3.368
"816","Konstantin Pugaev",3.367
"2552","Albert Montanes",3.366
"1076","Pablo Arraya",3.364
"1583","Petr Korda",3.364
"33","Rod Laver",3.364
"3334","Yasutaka Uchiyama",3.362
"426","Eddie Dibbs",3.361
"1294","Peter Lundgren",3.36
"2408","Tomas Zib",3.36
"3538","Michael Mmoh",3.36
"4354","Juan Manuel Hidalgo",3.359
"2911","Jorge Aguilar",3.357
"1172","Alberto Jimenez",3.357
"1205","Jakob Hlasek",3.357
"2602","Marc Gicquel",3.356
"3567","Alexei Popyrin",3.354
"913","Robert Vant Hof",3.353
"1247","Branko Horvat",3.353
"383","Jimmy Connors",3.352
"2137","Scott Draper",3.352
"1943","Lan Bale",3.351
"3406","Jaume Munar",3.35
"3033","Miguel Angel Lopez Jaen",3.349
"2334","Xavier Malisse",3.348
"2670","Julien Varlet",3.347
"3129","Igor Sijsling",3.345
"2176","Vladimir Voltchkov",3.344
"3075","Alexandre Sidorenko",3.343
