"","nameList","rating"
"1582","Richard Vogel",3.5018
"2058","Jiri Novak",3.501
"2564","Nicolas Mahut",3.499
"3440","Francis Tiafoe",3.498
"3592","Marcos Giron",3.495
"2598","Carlos Cuadrado",3.4948
"2259","Antony Dupuis",3.4926
"1972","Mikael Tillstrom",3.4914
"3240","Dominic Thiem",3.4911
"498","Tony Richey",3.4892
"2551","Hugo Armando",3.489
"3231","Jack Sock",3.4876
"3442","Zhizhen Zhang",3.4848
"3131","Matthew Ebden",3.4846
"2162","Nicolas Kiefer",3.4834
"3454","Ilya Ivashka",3.4817
"2543","Leos Friedl",3.4805
"3288","Vincent Millot",3.4793
"2215","Tom Kempers",3.479
"2568","Flavio Saretta",3.479
"2666","Wesley Moodie",3.4781
"3447","Jordan Thompson",3.4775
"2842","Denis Istomin",3.4773
"2520","Ivo Karlovic",3.4745
"2893","Simon Greul",3.4742
"3528","Stefano Napolitano",3.4739
"3073","Illya Marchenko",3.4733
"1480","Olivier Delaitre",3.4689
"2917","Dominik Meffert",3.4656
"2027","Filip Dewulf",3.4652
"2404","Jean Baptiste Perlant",3.4649
"1753","Gabriel Markus",3.464
"1970","Jordi Burillo",3.4638
"3589","Jason Jung",3.4638
"1425","Bruno Oresar",3.4638
"2823","Marcos Baghdatis",3.4637
"1594","Diego Nargiso",3.4628
"1512","Richey Reneberg",3.4614
"2207","Noam Behr",3.461
"2139","Hernan Gumy",3.461
"3386","Hyeon Chung",3.4608
"2180","Albert Portas",3.4604
"746","Bill Scanlon",3.4594
"3602","Miomir Kecmanovic",3.4593
"3537","Tennys Sandgren",3.4576
"2096","Ramon Delgado",3.4571
"1065","Sammy Giammalva Jr",3.4546
"1405","Claudio Pistolesi",3.4546
"2584","Gilles Elseneer",3.4521
"1855","Chuck Adams",3.4519
"45","Andres Gimeno",3.4502
"2329","Guillermo Canas",3.4492
"3261","Bassam Beidas",3.449
"3336","Karen Khachanov",3.4478
"2210","Nicolas Escude",3.4472
"2803","Julien Jeanpierre",3.4461
"3019","Andrey Golubev",3.4453
"3281","Bradley Klahn",3.4448
"2071","Albert Costa",3.4446
"2583","Lukasz Kubot",3.4439
"3540","Viktor Galovic",3.4431
"2468","Bjorn Phau",3.443
"1063","Marcel Freeman",3.4428
"2805","Jonathan Marray",3.4422
"3532","Akira Santillan",3.442
"412","Jimmy Connors",3.4407
"2316","Quino Munoz",3.4394
"2982","Juan Manuel Elizondo",3.4377
"3604","Juan Ignacio Londero",3.4376
"1052","Nick Brown",3.4375
"2561","Jimmy Wang",3.4374
"1675","Malivai Washington",3.4373
"2795","Nicolas Devilder",3.4365
"1415","Yahiya Doumbia",3.436
"3590","Oriol Roca Batalla",3.4352
"3064","Reda El Amrani",3.4337
"5552","Devin Britton",3.4329
"1694","Francisco Clavet",3.432
"3526","Yannick Hanfmann",3.4307
"3238","Nicolas Renavand",3.4307
"3569","Tallon Griekspoor",3.4298
"2679","Julien Varlet",3.4288
"2630","Victor Hanescu",3.4279
"911","L Maeso",3.4199
"2857","Luka Gregorc",3.4192
"1847","Younes El Aynaoui",3.417
"3585","Filip Horansky",3.4168
"3062","Leonardo Mayer",3.4166
"3276","Kenny De Schepper",3.4154
"1499","Jean Philippe Fleurian",3.4147
"2668","David Ferrer",3.4139
"3076","Romain Jouan",3.4125
"3475","Tommy Paul",3.4114
"1500","Eric Winogradsky",3.4099
"1784","David Rikl",3.4098
"3055","Massimo Dellacqua",3.4096
"3553","Pedja Krstin",3.4093
"1859","Sandon Stolle",3.408
"3319","Egor Gerasimov",3.4065
"3431","Kimmer Coppejans",3.4063
"2456","Martin Spottl",3.4062
"3413","Matteo Donati",3.4045
"3539","Stefano Travaglia",3.4027
"33","Rod Laver",3.4011
"556","Greg Cooper",3.4011
"1770","Karsten Braasch",3.4006
"2627","Jeff Morrison",3.4003
"1204","Slobodan Zivojinovic",3.3993
"2002","Lan Bale",3.3992
"2797","Simone Vagnozzi",3.3989
"2882","Michael Lammer",3.3987
"2997","Daniel Brands",3.3984
"2439","Tommy Robredo",3.3962
"3438","Jaume Munar",3.3946
"3380","Renzo Olivo",3.3945
"3341","Thanasi Kokkinakis",3.3944
"2838","Todd Widom",3.3932
"2741","Tomas Tenconi",3.393
"472","Balazs Taroczy",3.393
"483","Ian Hewitt",3.3924
"2631","Frank Dancevic",3.3909
"768","Tom Gullikson",3.3907
"902","Andres Gomez",3.3899
"2980","Simone Bolelli",3.3882
"3068","Clement Morel",3.3881
"2515","Michael Russell",3.3878
"1413","Menno Oosting",3.3873
"3372","Jason Kubler",3.3863
"2829","Edouard Roger Vasselin",3.3848
"3583","Bernabe Zapata Miralles",3.3835
